Term,Acronym,Category
Hugging Face Transformers,,Python Libraries
NumPy,,Python Libraries
Pandas,,Python Libraries
Matplotlib,,Python Libraries
Seaborn,,Python Libraries
Plotly,,Python Libraries
OpenCV,,Python Libraries
Pillow,PIL,Python Libraries
JAX,,Python Libraries
FastAI,,Python Libraries
Optuna,,Python Libraries
Ray,,Python Libraries
Dask,,Python Libraries
Vaex,,Python Libraries
Modin,,Python Libraries
MLOps,Machine Learning Operations,MLOps & Deployment
Model Serving,,MLOps & Deployment
Model Registry,,MLOps & Deployment
Model Versioning,,MLOps & Deployment
Model Monitoring,,MLOps & Deployment
A/B Testing,,MLOps & Deployment
Canary Deployment,,MLOps & Deployment
Blue-Green Deployment,,MLOps & Deployment
Feature Store,,MLOps & Deployment
Data Pipeline,,MLOps & Deployment
ETL,"Extract, Transform, Load",MLOps & Deployment
Data Lineage,,MLOps & Deployment
Model Interpretability,,MLOps & Deployment
Model Explainability,,MLOps & Deployment
Model Governance,,MLOps & Deployment
AWS SageMaker,,Cloud Platforms
Google Cloud AI Platform,,Cloud Platforms
Azure Machine Learning,,Cloud Platforms
Databricks,,Cloud Platforms
Snowflake,,Cloud Platforms
Kubernetes,K8s,Cloud Platforms
Docker,,Cloud Platforms
Terraform,,Cloud Platforms
Apache Airflow,,Cloud Platforms
Apache Spark,,Cloud Platforms
Apache Kafka,,Cloud Platforms
Redis,,Cloud Platforms
Elasticsearch,,Cloud Platforms
MongoDB,,Cloud Platforms
PostgreSQL,,Cloud Platforms
Data Scientist,,Job Roles
Machine Learning Engineer,,Job Roles
Data Analyst,,Job Roles
AI Researcher,,Job Roles
Data Engineer,,Job Roles
AI Product Manager,,Job Roles
ML Ops Engineer,,Job Roles
Research Scientist,,Job Roles
Applied Scientist,,Job Roles
AI Ethics Specialist,,Job Roles
Prompt Engineer,,Job Roles
Computer Vision Engineer,,Job Roles
NLP Engineer,,Job Roles
Robotics Engineer,,Job Roles
AI Solutions Architect,,Job Roles
Quantum Computing,,Emerging Tech
Edge Computing,,Emerging Tech
Federated Learning,,Emerging Tech
AutoML,Automated Machine Learning,Emerging Tech
Neural Architecture Search,NAS,Emerging Tech
Few-shot Learning,,Emerging Tech
Zero-shot Learning,,Emerging Tech
Meta-learning,Learning to Learn,Emerging Tech
Continual Learning,Lifelong Learning,Emerging Tech
Self-supervised Learning,,Emerging Tech
Contrastive Learning,,Emerging Tech
Adversarial Training,,Emerging Tech
Knowledge Distillation,,Emerging Tech
Model Compression,,Emerging Tech
Neural Pruning,,Emerging Tech
Features,,Data & Preprocessing
Labels,,Data & Preprocessing
Normalization,,Data & Preprocessing
Standardization,,Data & Preprocessing
One-Hot Encoding,,Data & Preprocessing
Linear Regression,,Algorithms & Models
Logistic Regression,,Algorithms & Models
Decision Trees,,Algorithms & Models
Random Forests,,Algorithms & Models
Support Vector Machines,SVM,Algorithms & Models
k-Nearest Neighbors,k-NN,Algorithms & Models
Naive Bayes,,Algorithms & Models
Neural Networks,,Algorithms & Models
Convolutional Neural Networks,CNNs,Algorithms & Models
Recurrent Neural Networks,RNNs,Algorithms & Models
Long Short-Term Memory,LSTM,Algorithms & Models
Generative Adversarial Networks,GANs,Algorithms & Models
Transformer Models,,Algorithms & Models
Accuracy,,Evaluation Metrics
Precision,,Evaluation Metrics
Recall,,Evaluation Metrics
F1 Score,,Evaluation Metrics
Confusion Matrix,,Evaluation Metrics
ROC Curve,,Evaluation Metrics
AUC,Area Under Curve,Evaluation Metrics
TensorFlow,,Tools & Frameworks
PyTorch,,Tools & Frameworks
Scikit-learn,,Tools & Frameworks
Keras,,Tools & Frameworks
XGBoost,,Tools & Frameworks
LightGBM,,Tools & Frameworks
Hugging Face Transformers,,Tools & Frameworks
Recommender Systems,,Domains & Applications
Anomaly Detection,,Domains & Applications
Robotic Process Automation,RPA,Domains & Applications
Autonomous Vehicles,,Domains & Applications
Feature Engineering,,Data & Preprocessing
Data Augmentation,,Data & Preprocessing
